car-id,hours
20150001010009-284,30.783
20150001050042-811,96.883
20150001060025-421,0.533
20150001070000-174,0.917
20150001070006-104,133.9
20150001080008-525,61.517
20150001080044-124,216.6
20150001090048-374,104.983
20150001100019-538,21.333
20150001110028-155,0.533
20150001120031-180,4.283
20150002060008-683,0.483
20150002060024-302,2.217
20150002070024-376,85.75
20150002080017-383,28.133
20150002080040-921,0.8
20150002080057-495,0.633
20150002120037-795,80.183
20150003010039-281,0.767
20150003020050-522,95.983
20150003040042-47,28.483
20150003060007-767,1.15
20150003080058-668,147.067
20150003090016-90,0.8
20150003090030-424,104.683
20150004010010-724,92.833
20150004010027-232,0.5
20150004010051-792,1.967
20150004030017-259,19.6
20150004030033-995,0.367
20150004050003-330,0.417
20150004050011-484,1.2
20150004070037-579,1.117
20150004100026-651,0.533
20150004110002-747,0.433
20150004120029-367,203.183
20150005020044-437,32.217
20150005030012-864,0.55
20150005080045-118,5.017
20150005110029-714,69.333
20150005120027-336,0.417
20150006010020-419,29.983
20150006030021-893,0.533
20150006030042-85,0.383
20150006040002-269,0.55
20150006070008-822,3.367
20150006070032-991,155.8
20150006080007-531,131.533
20150007020012-126,138.283
20150007030049-86,1.183
20150007040000-591,1.133
20150007040001-180,2.05
20150007040010-264,1.6
20150007050005-262,8.467
20150007060003-154,0.317
20150007070026-475,0.433
20150007080020-82,1.833
20150007090049-931,171.433
20150007110022-413,152.283
20150007120029-935,0.917
20150008010008-348,0.517
20150008010023-545,47.45
20150008010052-816,1.117
20150008060003-21,82.483
20150008060048-631,7.167
20150008080010-6,0.5
20150008080048-814,35.667
20150008110047-331,1.1
20150009030033-322,0.95
20150009040035-292,79.4
20150009060037-852,256.467
20150009080021-959,0.467
20150009100056-432,0.4
20150009110038-258,1.0
20150010010032-566,0.55
20150010020057-694,145.55
20150010030002-664,79.367
20150010030024-367,0.35
20150010040007-631,27.35
20150010040037-125,27.517
20150010050052-231,21.417
20150010070052-300,31.033
20150010080005-370,29.25
20150010080038-54,118.183
20150010100022-558,1.383
20150010120011-538,2.083
20150010120016-560,0.517
20150010120021-402,0.867
20150010120037-8,313.1
20150011020058-334,18.833
20150011060014-975,0.35
20150011070002-311,136.733
20150011070040-794,7.1
20150011120023-724,53.517
20150012040030-974,0.35
20150012080004-451,1.717
20150013020033-816,79.233
20150013030032-591,1.417
20150013030046-227,0.433
20150013040059-365,0.683
20150013050035-283,4.883
20150013060021-372,0.5
20150013090012-973,3.083
20150013090015-853,0.5
20150013110015-112,71.1
20150013110026-772,2.917
20150013110026-797,30.367
20150014010052-857,0.9
20150014010056-634,0.467
20150014020055-887,0.483
20150014030027-293,22.617
20150014030033-497,1.95
20150014040019-114,3.917
20150014080042-626,1.483
20150014100049-755,97.133
20150014120010-306,0.6
20150015040031-221,0.6
20150015070013-394,3.883
20150015080046-446,1.233
20150015120027-493,0.533
20150016010039-314,45.683
20150016010043-705,0.75
20150016030059-807,0.5
20150016040038-159,1.15
