,Unnamed: 0,Timestamp,car-id,car-type,gate-name,Date,gate_type
1257,1257,2015-05-05 02:05:22,20150505020522-625,4,entrance3,2015-05-05,entrance
1258,1258,2015-05-05 02:07:15,20150505020522-625,4,gate6,2015-05-05,gate
1259,1259,2015-05-05 02:08:20,20150505020522-625,4,ranger-stop6,2015-05-05,ranger-stop
1260,1260,2015-05-05 02:09:18,20150505020522-625,4,gate5,2015-05-05,gate
1261,1261,2015-05-05 02:14:16,20150505020522-625,4,general-gate5,2015-05-05,general-gate
1262,1262,2015-05-05 02:22:24,20150505020522-625,4,gate3,2015-05-05,gate
1263,1263,2015-05-05 02:24:12,20150505020522-625,4,ranger-stop3,2015-05-05,ranger-stop
1264,1264,2015-05-05 02:39:08,20150505020522-625,4,ranger-stop3,2015-05-05,ranger-stop
1265,1265,2015-05-05 02:40:51,20150505020522-625,4,gate3,2015-05-05,gate
1266,1266,2015-05-05 02:48:58,20150505020522-625,4,general-gate5,2015-05-05,general-gate
1267,1267,2015-05-05 02:53:55,20150505020522-625,4,gate5,2015-05-05,gate
1268,1268,2015-05-05 02:54:55,20150505020522-625,4,ranger-stop6,2015-05-05,ranger-stop
1269,1269,2015-05-05 02:55:58,20150505020522-625,4,gate6,2015-05-05,gate
1270,1270,2015-05-05 02:57:55,20150505020522-625,4,entrance3,2015-05-05,entrance
6723,6723,2015-05-21 02:15:18,20151521021518-235,4,entrance3,2015-05-21,entrance
6724,6724,2015-05-21 02:17:30,20151521021518-235,4,gate6,2015-05-21,gate
6725,6725,2015-05-21 02:18:45,20151521021518-235,4,ranger-stop6,2015-05-21,ranger-stop
6726,6726,2015-05-21 02:19:53,20151521021518-235,4,gate5,2015-05-21,gate
6727,6727,2015-05-21 02:25:39,20151521021518-235,4,general-gate5,2015-05-21,general-gate
6728,6728,2015-05-21 02:35:05,20151521021518-235,4,gate3,2015-05-21,gate
6729,6729,2015-05-21 02:37:12,20151521021518-235,4,ranger-stop3,2015-05-21,ranger-stop
6730,6730,2015-05-21 02:49:15,20151521021518-235,4,ranger-stop3,2015-05-21,ranger-stop
6731,6731,2015-05-21 02:51:15,20151521021518-235,4,gate3,2015-05-21,gate
6733,6733,2015-05-21 03:00:43,20151521021518-235,4,general-gate5,2015-05-21,general-gate
6734,6734,2015-05-21 03:06:28,20151521021518-235,4,gate5,2015-05-21,gate
6735,6735,2015-05-21 03:07:37,20151521021518-235,4,ranger-stop6,2015-05-21,ranger-stop
6736,6736,2015-05-21 03:08:51,20151521021518-235,4,gate6,2015-05-21,gate
6737,6737,2015-05-21 03:11:07,20151521021518-235,4,entrance3,2015-05-21,entrance
11205,11205,2015-06-02 04:47:23,20154702044723-914,4,entrance3,2015-06-02,entrance
11207,11207,2015-06-02 04:49:13,20154702044723-914,4,gate6,2015-06-02,gate
11209,11209,2015-06-02 04:50:15,20154702044723-914,4,ranger-stop6,2015-06-02,ranger-stop
11210,11210,2015-06-02 04:51:11,20154702044723-914,4,gate5,2015-06-02,gate
11212,11212,2015-06-02 04:55:59,20154702044723-914,4,general-gate5,2015-06-02,general-gate
11214,11214,2015-06-02 05:03:51,20154702044723-914,4,gate3,2015-06-02,gate
11216,11216,2015-06-02 05:05:36,20154702044723-914,4,ranger-stop3,2015-06-02,ranger-stop
11224,11224,2015-06-02 05:17:28,20154702044723-914,4,ranger-stop3,2015-06-02,ranger-stop
11226,11226,2015-06-02 05:19:08,20154702044723-914,4,gate3,2015-06-02,gate
11229,11229,2015-06-02 05:27:00,20154702044723-914,4,general-gate5,2015-06-02,general-gate
11231,11231,2015-06-02 05:31:46,20154702044723-914,4,gate5,2015-06-02,gate
11232,11232,2015-06-02 05:32:44,20154702044723-914,4,ranger-stop6,2015-06-02,ranger-stop
11233,11233,2015-06-02 05:33:45,20154702044723-914,4,gate6,2015-06-02,gate
11234,11234,2015-06-02 05:35:38,20154702044723-914,4,entrance3,2015-06-02,entrance
22280,22280,2015-06-16 04:04:41,20150416040441-902,4,entrance3,2015-06-16,entrance
22281,22281,2015-06-16 04:06:23,20150416040441-902,4,gate6,2015-06-16,gate
22282,22282,2015-06-16 04:07:22,20150416040441-902,4,ranger-stop6,2015-06-16,ranger-stop
22283,22283,2015-06-16 04:08:14,20150416040441-902,4,gate5,2015-06-16,gate
22284,22284,2015-06-16 04:12:42,20150416040441-902,4,general-gate5,2015-06-16,general-gate
22285,22285,2015-06-16 04:20:02,20150416040441-902,4,gate3,2015-06-16,gate
22286,22286,2015-06-16 04:21:40,20150416040441-902,4,ranger-stop3,2015-06-16,ranger-stop
22291,22291,2015-06-16 04:33:45,20150416040441-902,4,ranger-stop3,2015-06-16,ranger-stop
22292,22292,2015-06-16 04:35:19,20150416040441-902,4,gate3,2015-06-16,gate
22293,22293,2015-06-16 04:42:38,20150416040441-902,4,general-gate5,2015-06-16,general-gate
22295,22295,2015-06-16 04:47:05,20150416040441-902,4,gate5,2015-06-16,gate
22296,22296,2015-06-16 04:47:59,20150416040441-902,4,ranger-stop6,2015-06-16,ranger-stop
22297,22297,2015-06-16 04:48:56,20150416040441-902,4,gate6,2015-06-16,gate
22298,22298,2015-06-16 04:50:42,20150416040441-902,4,entrance3,2015-06-16,entrance
30383,30383,2015-06-25 02:29:19,20152925022919-735,4,entrance3,2015-06-25,entrance
30384,30384,2015-06-25 02:31:25,20152925022919-735,4,gate6,2015-06-25,gate
30385,30385,2015-06-25 02:32:37,20152925022919-735,4,ranger-stop6,2015-06-25,ranger-stop
30386,30386,2015-06-25 02:33:41,20152925022919-735,4,gate5,2015-06-25,gate
30387,30387,2015-06-25 02:39:09,20152925022919-735,4,general-gate5,2015-06-25,general-gate
30389,30389,2015-06-25 02:48:08,20152925022919-735,4,gate3,2015-06-25,gate
30390,30390,2015-06-25 02:50:08,20152925022919-735,4,ranger-stop3,2015-06-25,ranger-stop
30394,30394,2015-06-25 03:00:52,20152925022919-735,4,ranger-stop3,2015-06-25,ranger-stop
30395,30395,2015-06-25 03:02:47,20152925022919-735,4,gate3,2015-06-25,gate
30404,30404,2015-06-25 03:11:46,20152925022919-735,4,general-gate5,2015-06-25,general-gate
30406,30406,2015-06-25 03:17:15,20152925022919-735,4,gate5,2015-06-25,gate
30408,30408,2015-06-25 03:18:21,20152925022919-735,4,ranger-stop6,2015-06-25,ranger-stop
30409,30409,2015-06-25 03:19:31,20152925022919-735,4,gate6,2015-06-25,gate
30412,30412,2015-06-25 03:21:41,20152925022919-735,4,entrance3,2015-06-25,entrance
43917,43917,2015-07-07 04:49:11,20154907044911-419,4,entrance3,2015-07-07,entrance
43918,43918,2015-07-07 04:51:22,20154907044911-419,4,gate6,2015-07-07,gate
43919,43919,2015-07-07 04:52:37,20154907044911-419,4,ranger-stop6,2015-07-07,ranger-stop
43920,43920,2015-07-07 04:53:44,20154907044911-419,4,gate5,2015-07-07,gate
43921,43921,2015-07-07 04:59:27,20154907044911-419,4,general-gate5,2015-07-07,general-gate
43923,43923,2015-07-07 05:08:52,20154907044911-419,4,gate3,2015-07-07,gate
43924,43924,2015-07-07 05:10:57,20154907044911-419,4,ranger-stop3,2015-07-07,ranger-stop
43927,43927,2015-07-07 05:22:01,20154907044911-419,4,ranger-stop3,2015-07-07,ranger-stop
43928,43928,2015-07-07 05:24:00,20154907044911-419,4,gate3,2015-07-07,gate
43936,43936,2015-07-07 05:33:24,20154907044911-419,4,general-gate5,2015-07-07,general-gate
43941,43941,2015-07-07 05:39:08,20154907044911-419,4,gate5,2015-07-07,gate
43942,43942,2015-07-07 05:40:17,20154907044911-419,4,ranger-stop6,2015-07-07,ranger-stop
43945,43945,2015-07-07 05:41:30,20154907044911-419,4,gate6,2015-07-07,gate
43946,43946,2015-07-07 05:43:46,20154907044911-419,4,entrance3,2015-07-07,entrance
53360,53360,2015-07-14 04:14:06,20151414041406-386,4,entrance3,2015-07-14,entrance
53362,53362,2015-07-14 04:16:00,20151414041406-386,4,gate6,2015-07-14,gate
53363,53363,2015-07-14 04:17:05,20151414041406-386,4,ranger-stop6,2015-07-14,ranger-stop
53364,53364,2015-07-14 04:18:03,20151414041406-386,4,gate5,2015-07-14,gate
53365,53365,2015-07-14 04:22:59,20151414041406-386,4,general-gate5,2015-07-14,general-gate
53367,53367,2015-07-14 04:31:05,20151414041406-386,4,gate3,2015-07-14,gate
53368,53368,2015-07-14 04:32:53,20151414041406-386,4,ranger-stop3,2015-07-14,ranger-stop
53371,53371,2015-07-14 04:44:53,20151414041406-386,4,ranger-stop3,2015-07-14,ranger-stop
53372,53372,2015-07-14 04:46:36,20151414041406-386,4,gate3,2015-07-14,gate
53373,53373,2015-07-14 04:54:43,20151414041406-386,4,general-gate5,2015-07-14,general-gate
53374,53374,2015-07-14 04:59:39,20151414041406-386,4,gate5,2015-07-14,gate
53375,53375,2015-07-14 05:00:39,20151414041406-386,4,ranger-stop6,2015-07-14,ranger-stop
53376,53376,2015-07-14 05:01:42,20151414041406-386,4,gate6,2015-07-14,gate
53377,53377,2015-07-14 05:03:39,20151414041406-386,4,entrance3,2015-07-14,entrance
63777,63777,2015-07-23 04:39:10,20153923043910-954,4,entrance3,2015-07-23,entrance
63779,63779,2015-07-23 04:41:23,20153923043910-954,4,gate6,2015-07-23,gate
63780,63780,2015-07-23 04:42:38,20153923043910-954,4,ranger-stop6,2015-07-23,ranger-stop
63781,63781,2015-07-23 04:43:46,20153923043910-954,4,gate5,2015-07-23,gate
63785,63785,2015-07-23 04:49:32,20153923043910-954,4,general-gate5,2015-07-23,general-gate
63788,63788,2015-07-23 04:59:01,20153923043910-954,4,gate3,2015-07-23,gate
63789,63789,2015-07-23 05:01:08,20153923043910-954,4,ranger-stop3,2015-07-23,ranger-stop
63793,63793,2015-07-23 05:15:34,20153923043910-954,4,ranger-stop3,2015-07-23,ranger-stop
63796,63796,2015-07-23 05:17:35,20153923043910-954,4,gate3,2015-07-23,gate
63799,63799,2015-07-23 05:27:04,20153923043910-954,4,general-gate5,2015-07-23,general-gate
63801,63801,2015-07-23 05:32:50,20153923043910-954,4,gate5,2015-07-23,gate
63803,63803,2015-07-23 05:34:00,20153923043910-954,4,ranger-stop6,2015-07-23,ranger-stop
63804,63804,2015-07-23 05:35:14,20153923043910-954,4,gate6,2015-07-23,gate
63806,63806,2015-07-23 05:37:31,20153923043910-954,4,entrance3,2015-07-23,entrance
78832,78832,2015-08-04 02:01:18,20150104020118-228,4,entrance3,2015-08-04,entrance
78833,78833,2015-08-04 02:03:05,20150104020118-228,4,gate6,2015-08-04,gate
78834,78834,2015-08-04 02:04:05,20150104020118-228,4,ranger-stop6,2015-08-04,ranger-stop
78835,78835,2015-08-04 02:05:00,20150104020118-228,4,gate5,2015-08-04,gate
78836,78836,2015-08-04 02:09:38,20150104020118-228,4,general-gate5,2015-08-04,general-gate
78837,78837,2015-08-04 02:17:15,20150104020118-228,4,gate3,2015-08-04,gate
78838,78838,2015-08-04 02:18:57,20150104020118-228,4,ranger-stop3,2015-08-04,ranger-stop
78839,78839,2015-08-04 02:29:24,20150104020118-228,4,ranger-stop3,2015-08-04,ranger-stop
78840,78840,2015-08-04 02:31:01,20150104020118-228,4,gate3,2015-08-04,gate
78841,78841,2015-08-04 02:38:38,20150104020118-228,4,general-gate5,2015-08-04,general-gate
78842,78842,2015-08-04 02:43:16,20150104020118-228,4,gate5,2015-08-04,gate
78843,78843,2015-08-04 02:44:12,20150104020118-228,4,ranger-stop6,2015-08-04,ranger-stop
78844,78844,2015-08-04 02:45:11,20150104020118-228,4,gate6,2015-08-04,gate
78845,78845,2015-08-04 02:47:00,20150104020118-228,4,entrance3,2015-08-04,entrance
95064,95064,2015-08-20 02:15:56,20151520021556-881,4,entrance3,2015-08-20,entrance
95065,95065,2015-08-20 02:18:04,20151520021556-881,4,gate6,2015-08-20,gate
95066,95066,2015-08-20 02:19:17,20151520021556-881,4,ranger-stop6,2015-08-20,ranger-stop
95067,95067,2015-08-20 02:20:23,20151520021556-881,4,gate5,2015-08-20,gate
95069,95069,2015-08-20 02:25:58,20151520021556-881,4,general-gate5,2015-08-20,general-gate
95070,95070,2015-08-20 02:35:07,20151520021556-881,4,gate3,2015-08-20,gate
95071,95071,2015-08-20 02:37:10,20151520021556-881,4,ranger-stop3,2015-08-20,ranger-stop
95073,95073,2015-08-20 02:47:51,20151520021556-881,4,ranger-stop3,2015-08-20,ranger-stop
95074,95074,2015-08-20 02:49:48,20151520021556-881,4,gate3,2015-08-20,gate
95075,95075,2015-08-20 02:58:58,20151520021556-881,4,general-gate5,2015-08-20,general-gate
95076,95076,2015-08-20 03:04:33,20151520021556-881,4,gate5,2015-08-20,gate
95077,95077,2015-08-20 03:05:40,20151520021556-881,4,ranger-stop6,2015-08-20,ranger-stop
95078,95078,2015-08-20 03:06:52,20151520021556-881,4,gate6,2015-08-20,gate
95079,95079,2015-08-20 03:09:05,20151520021556-881,4,entrance3,2015-08-20,entrance
107225,107225,2015-09-01 04:49:10,20154901044910-777,4,entrance3,2015-09-01,entrance
107226,107226,2015-09-01 04:50:58,20154901044910-777,4,gate6,2015-09-01,gate
107227,107227,2015-09-01 04:51:59,20154901044910-777,4,ranger-stop6,2015-09-01,ranger-stop
107228,107228,2015-09-01 04:52:54,20154901044910-777,4,gate5,2015-09-01,gate
107229,107229,2015-09-01 04:57:35,20154901044910-777,4,general-gate5,2015-09-01,general-gate
107230,107230,2015-09-01 05:05:17,20154901044910-777,4,gate3,2015-09-01,gate
107231,107231,2015-09-01 05:07:00,20154901044910-777,4,ranger-stop3,2015-09-01,ranger-stop
107233,107233,2015-09-01 05:21:05,20154901044910-777,4,ranger-stop3,2015-09-01,ranger-stop
107234,107234,2015-09-01 05:22:43,20154901044910-777,4,gate3,2015-09-01,gate
107237,107237,2015-09-01 05:30:23,20154901044910-777,4,general-gate5,2015-09-01,general-gate
107240,107240,2015-09-01 05:35:04,20154901044910-777,4,gate5,2015-09-01,gate
107241,107241,2015-09-01 05:36:00,20154901044910-777,4,ranger-stop6,2015-09-01,ranger-stop
107242,107242,2015-09-01 05:37:00,20154901044910-777,4,gate6,2015-09-01,gate
107243,107243,2015-09-01 05:38:50,20154901044910-777,4,entrance3,2015-09-01,entrance
118206,118206,2015-09-15 03:14:50,20151415031450-923,4,entrance3,2015-09-15,entrance
118208,118208,2015-09-15 03:16:55,20151415031450-923,4,gate6,2015-09-15,gate
118209,118209,2015-09-15 03:18:05,20151415031450-923,4,ranger-stop6,2015-09-15,ranger-stop
118210,118210,2015-09-15 03:19:08,20151415031450-923,4,gate5,2015-09-15,gate
118213,118213,2015-09-15 03:24:30,20151415031450-923,4,general-gate5,2015-09-15,general-gate
118215,118215,2015-09-15 03:33:19,20151415031450-923,4,gate3,2015-09-15,gate
118217,118217,2015-09-15 03:35:17,20151415031450-923,4,ranger-stop3,2015-09-15,ranger-stop
118233,118233,2015-09-15 03:50:06,20151415031450-923,4,ranger-stop3,2015-09-15,ranger-stop
118234,118234,2015-09-15 03:51:58,20151415031450-923,4,gate3,2015-09-15,gate
118237,118237,2015-09-15 04:00:47,20151415031450-923,4,general-gate5,2015-09-15,general-gate
118239,118239,2015-09-15 04:06:10,20151415031450-923,4,gate5,2015-09-15,gate
118240,118240,2015-09-15 04:07:14,20151415031450-923,4,ranger-stop6,2015-09-15,ranger-stop
118242,118242,2015-09-15 04:08:23,20151415031450-923,4,gate6,2015-09-15,gate
118244,118244,2015-09-15 04:10:29,20151415031450-923,4,entrance3,2015-09-15,entrance
130116,130116,2015-10-01 03:12:45,20151201031245-77,4,entrance3,2015-10-01,entrance
130117,130117,2015-10-01 03:14:51,20151201031245-77,4,gate6,2015-10-01,gate
130118,130118,2015-10-01 03:16:02,20151201031245-77,4,ranger-stop6,2015-10-01,ranger-stop
130119,130119,2015-10-01 03:17:06,20151201031245-77,4,gate5,2015-10-01,gate
130120,130120,2015-10-01 03:22:34,20151201031245-77,4,general-gate5,2015-10-01,general-gate
130122,130122,2015-10-01 03:31:33,20151201031245-77,4,gate3,2015-10-01,gate
130123,130123,2015-10-01 03:33:33,20151201031245-77,4,ranger-stop3,2015-10-01,ranger-stop
130125,130125,2015-10-01 03:47:01,20151201031245-77,4,ranger-stop3,2015-10-01,ranger-stop
130127,130127,2015-10-01 03:48:56,20151201031245-77,4,gate3,2015-10-01,gate
130128,130128,2015-10-01 03:57:53,20151201031245-77,4,general-gate5,2015-10-01,general-gate
130130,130130,2015-10-01 04:03:21,20151201031245-77,4,gate5,2015-10-01,gate
130131,130131,2015-10-01 04:04:26,20151201031245-77,4,ranger-stop6,2015-10-01,ranger-stop
130132,130132,2015-10-01 04:05:36,20151201031245-77,4,gate6,2015-10-01,gate
130134,130134,2015-10-01 04:07:46,20151201031245-77,4,entrance3,2015-10-01,entrance
135247,135247,2015-10-20 03:09:17,20150920030917-854,4,entrance3,2015-10-20,entrance
135249,135249,2015-10-20 03:11:10,20150920030917-854,4,gate6,2015-10-20,gate
135250,135250,2015-10-20 03:12:15,20150920030917-854,4,ranger-stop6,2015-10-20,ranger-stop
135252,135252,2015-10-20 03:13:13,20150920030917-854,4,gate5,2015-10-20,gate
135254,135254,2015-10-20 03:18:08,20150920030917-854,4,general-gate5,2015-10-20,general-gate
135256,135256,2015-10-20 03:26:13,20150920030917-854,4,gate3,2015-10-20,gate
135257,135257,2015-10-20 03:28:01,20150920030917-854,4,ranger-stop3,2015-10-20,ranger-stop
135260,135260,2015-10-20 03:40:57,20150920030917-854,4,ranger-stop3,2015-10-20,ranger-stop
135261,135261,2015-10-20 03:42:40,20150920030917-854,4,gate3,2015-10-20,gate
135262,135262,2015-10-20 03:50:46,20150920030917-854,4,general-gate5,2015-10-20,general-gate
135264,135264,2015-10-20 03:55:41,20150920030917-854,4,gate5,2015-10-20,gate
135265,135265,2015-10-20 03:56:41,20150920030917-854,4,ranger-stop6,2015-10-20,ranger-stop
135266,135266,2015-10-20 03:57:44,20150920030917-854,4,gate6,2015-10-20,gate
135267,135267,2015-10-20 03:59:40,20150920030917-854,4,entrance3,2015-10-20,entrance
139542,139542,2015-11-12 03:11:19,20151112031119-409,4,entrance3,2015-11-12,entrance
139543,139543,2015-11-12 03:13:23,20151112031119-409,4,gate6,2015-11-12,gate
139544,139544,2015-11-12 03:14:33,20151112031119-409,4,ranger-stop6,2015-11-12,ranger-stop
